seconds, temperature
1348.00,125.00
1349.00,125.00
1350.00,125.00
1351.00,125.00
1352.00,125.00
1353.00,125.00
1354.00,125.00
1355.00,125.00
1356.00,125.00
1357.00,125.00
1358.00,125.00
1359.00,125.00
1360.00,125.00
1361.00,125.00
1362.00,125.00
1363.00,125.00
1364.00,125.00
1365.00,125.00
1366.00,125.00
1367.00,125.00
1368.00,125.00
1369.00,125.00
1370.00,125.00
1371.00,125.00
1372.00,125.00
1373.00,125.00
1374.00,125.00
1375.00,125.00
1376.00,125.00
1377.00,125.00
1378.00,125.00
1379.00,125.00
1380.00,125.00
1381.00,125.00
1382.00,125.00
1383.00,125.00
1384.00,125.00
1385.00,125.00
1386.00,125.00
1387.00,125.00
1388.00,125.00
1389.00,125.00
1390.00,125.00
1391.00,125.00
1392.00,125.00
1393.00,125.00
1394.00,125.00
1395.00,125.00
1396.00,125.00
1397.00,125.00
1398.00,125.00
1399.00,125.00
1400.00,125.00
1401.00,125.00
1402.00,125.00
1403.00,125.00
1404.00,125.00
1405.00,125.00
1406.00,125.03
1407.00,125.28
1408.00,125.66
1409.00,126.04
1410.00,126.36
1411.00,126.71
1412.00,127.07
1413.00,127.40
1414.00,127.74
1415.00,128.10
1416.00,128.43
1417.00,128.79
1418.00,129.13
1419.00,129.45
1420.00,129.81
1421.00,130.15
1422.00,130.47
1423.00,130.83
1424.00,131.18
1425.00,131.52
1426.00,131.86
1427.00,132.19
1428.00,132.55
1429.00,132.87
1430.00,133.20
1431.00,133.56
1432.00,133.88
1433.00,134.23
1434.00,134.56
1435.00,134.88
1436.00,135.24
1437.00,135.57
1438.00,135.92
1439.00,136.24
1440.00,136.59
1441.00,136.93
1442.00,137.25
1443.00,137.60
1444.00,137.93
1445.00,138.27
1446.00,138.60
1447.00,138.94
1448.00,139.27
1449.00,139.60
1450.00,139.94
1451.00,140.29
1452.00,140.61
1453.00,140.94
1454.00,141.29
1455.00,141.61
1456.00,141.94
1457.00,142.29
1458.00,142.64
1459.00,142.96
1460.00,143.29
1461.00,143.64
1462.00,143.96
1463.00,144.29
1464.00,144.64
1465.00,144.96
1466.00,145.29
1467.00,145.64
1468.00,145.98
1469.00,146.31
1470.00,146.64
1471.00,147.00
1472.00,147.31
1473.00,147.66
1474.00,148.01
1475.00,148.33
1476.00,148.68
1477.00,149.03
1478.00,149.35
1479.00,149.71
1480.00,150.04
1481.00,150.24
1482.00,150.24
1483.00,150.20
1484.00,150.17
1485.00,150.16
1486.00,150.15
1488.00,150.14
1489.00,150.13
1490.00,150.12
1491.00,150.11
1492.00,150.11
1493.00,150.10
1494.00,150.09
1495.00,150.09
1496.00,150.08
1497.00,150.07
1498.00,150.07
1499.00,150.06
1500.00,150.06
1501.00,150.06
1502.00,150.05
1503.00,150.05
1504.00,150.05
1505.00,150.04
1506.00,150.04
1507.00,150.04
1508.00,150.03
1509.00,150.03
1510.00,150.03
1511.00,150.03
1512.00,150.03
1513.00,150.02
1514.00,150.02
1515.00,150.02
1516.00,150.02
1517.00,150.02
1518.00,150.02
1519.00,150.02
1520.00,150.02
1521.00,150.01
1522.00,150.01
1523.00,150.01
1524.00,150.01
1525.00,150.01
1526.00,150.01
1527.00,150.01
1528.00,150.01
1529.00,150.01
1530.00,150.01
1531.00,150.01
1532.00,150.01
1533.00,150.01
1534.00,150.01
1535.00,150.01
1536.00,150.00
1537.00,150.01
1538.00,150.00
1539.00,150.00
1540.00,150.00
1541.00,150.00
1542.00,150.00
1543.00,150.00
1544.00,150.00
1545.00,150.00
1546.00,150.00
1547.00,150.00
1548.00,150.00
1549.00,150.00
1550.00,150.00
1551.00,150.00
1552.00,150.00
1553.00,150.00
1554.00,150.00
1555.00,150.00
1556.00,150.00
1557.00,150.00
1558.00,150.00
1559.00,150.00
1560.00,150.00
1561.00,150.00
1562.00,150.00
1563.00,150.00
1564.00,150.00
1565.00,150.00
1566.00,150.00
1567.00,150.00
1568.00,150.00
1569.00,150.00
1570.00,150.00
1571.00,150.00
1572.00,150.00
1573.00,150.00
1574.00,150.00
1575.00,150.00
1576.00,150.00
1577.00,150.00
1578.00,150.00
1579.00,150.00
1580.00,150.00
1581.00,150.00
1582.00,150.00
1583.00,150.00
1584.00,150.00
1585.00,150.00
1586.00,150.00
1587.00,150.00
1588.00,150.00
1589.00,150.00
1590.00,150.00
1591.00,150.00
1592.00,150.00
1593.00,150.00
1594.00,150.00
1595.00,150.00
1596.00,150.00
1597.00,150.00
1598.00,150.00
1599.00,150.00
1600.00,150.00
1601.00,150.00
1602.00,150.00
1603.00,150.00
1604.00,150.00
1605.00,150.00
1606.00,150.00
1607.00,150.00
1608.00,150.00
1609.00,150.00
1610.00,150.00
1611.00,150.00
1612.00,150.00
1613.00,150.00
1615.00,150.00
1616.00,150.00
1617.00,150.00
1618.00,150.00
1619.00,150.00
1620.00,150.00
1621.00,150.00
1622.00,150.00
1623.00,150.00
1624.00,150.00
1625.00,150.00
1626.00,150.00
1627.00,150.00
1628.00,150.00
1629.00,150.00
1630.00,150.00
1631.00,150.00
1632.00,150.00
1633.00,150.00
1634.00,150.00
1635.00,150.00
1636.00,150.00
1637.00,150.00
1638.00,150.00
1639.00,150.00
1640.00,150.00
1641.00,150.00
1642.00,150.00
1643.00,150.00
1644.00,150.00
1645.00,150.00
1646.00,150.00
1647.00,150.00
1648.00,150.00
1649.00,150.00
1650.00,150.00
1651.00,150.00
1652.00,150.00
1653.00,150.00
1654.00,150.00
1655.00,150.00
